,Algorithm,Size,Threatened_Queens,Amount_of_explored_states,Time
408,HILL_CLIMBING,15,5,6,0.5982639789581299
409,SIM_ANNEALING,15,3,122,0.05369210243225098
410,GENETIC,15,11,150,1.033315658569336
411,HILL_CLIMBING,15,4,6,0.5972540378570557
412,SIM_ANNEALING,15,4,145,0.07120394706726074
413,GENETIC,15,10,150,1.04783296585083
414,HILL_CLIMBING,15,2,6,0.6256132125854492
415,SIM_ANNEALING,15,6,225,0.09493255615234375
416,GENETIC,15,12,150,1.033071517944336
417,HILL_CLIMBING,15,2,7,0.7011711597442627
418,SIM_ANNEALING,15,4,134,0.05470681190490723
419,GENETIC,15,11,150,0.9921133518218994
420,HILL_CLIMBING,15,2,7,0.7051355838775635
421,SIM_ANNEALING,15,5,167,0.07352185249328613
422,GENETIC,15,13,150,1.0250670909881592
423,HILL_CLIMBING,15,4,6,0.5985317230224609
424,SIM_ANNEALING,15,3,113,0.042707204818725586
425,GENETIC,15,11,150,0.9585583209991455
426,HILL_CLIMBING,15,3,7,0.7041606903076172
427,SIM_ANNEALING,15,6,201,0.0849924087524414
428,GENETIC,15,10,150,1.03590989112854
429,HILL_CLIMBING,15,3,7,0.7096655368804932
430,SIM_ANNEALING,15,5,169,0.06798171997070312
431,GENETIC,15,10,150,1.065612554550171
432,HILL_CLIMBING,15,3,5,0.6185808181762695
433,SIM_ANNEALING,15,5,167,0.07578372955322266
434,GENETIC,15,9,150,1.033463716506958
435,HILL_CLIMBING,15,0,7,0.7245099544525146
436,SIM_ANNEALING,15,6,201,0.08662724494934082
437,GENETIC,15,11,150,1.0279731750488281
438,HILL_CLIMBING,15,4,6,0.6196236610412598
439,SIM_ANNEALING,15,3,136,0.05481266975402832
440,GENETIC,15,10,150,1.0357568264007568
441,HILL_CLIMBING,15,4,7,0.6495101451873779
442,SIM_ANNEALING,15,2,117,0.05477428436279297
443,GENETIC,15,12,150,1.0007994174957275
444,HILL_CLIMBING,15,5,5,0.5209732055664062
445,SIM_ANNEALING,15,5,191,0.08784198760986328
446,GENETIC,15,11,150,1.0802934169769287
447,HILL_CLIMBING,15,2,7,0.6959562301635742
448,SIM_ANNEALING,15,5,167,0.07204318046569824
449,GENETIC,15,11,150,1.0446927547454834
